artist_name,track_name,track_id,popularity,album_name,album_id,album_release_date,album_type,track_duration_ms,explicit,track_number,disc_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id,artist_uri,artist_genres,artist_popularity
Relaxing Spa Music Play List,Harps and Acoustic Guitar Soundtrack for Spa Moments,6Mp5GIkwXrAX4iPK1AR77r,0,Smart Harps and Acoustic Guitar - Bgm for Spa Moments,6cFaoiFYazmRyOvnny2B8v,2021-04-09,album,137183,False,4,1,0.664,0.297,10,-15.419,1,0.0393,0.949,0.468,0.0996,0.325,125.958,6whcVJnFitCr75s147jG7k,spotify:artist:6whcVJnFitCr75s147jG7k,[],0
Brilhante Música Infantil,Fofinho (Historia de Ninar),1FbQPFJRi2M0tIoDIVu8Wk,0,Hora de Brincar - Musica,7M3ZXikfq16SsQ1Fdu3A6h,2021-11-23,album,124273,False,4,1,0.745,0.133,7,-16.368,0,0.0682,0.672,0.0,0.109,0.197,85.029,14UH3zzMRPE02IorqeDXpT,spotify:artist:14UH3zzMRPE02IorqeDXpT,[],0
爵士放松,精彩读环境,5JMrANo60c32EcbMdcBk8F,0,快活的学习心情,1jU8tvGF0NFREIDX1CJWUw,2021-05-06,album,125573,False,9,1,0.78,0.0773,2,-17.09,1,0.0746,0.982,0.832,0.115,0.274,129.972,1AYJjE0D6GZJsrjNFaTKAR,spotify:artist:1AYJjE0D6GZJsrjNFaTKAR,[],0
カジュアル リラックスする尺八音楽,バックグラウンドミュージック(睡眠),2H2fJp6rOmDM7yGTadRJs4,0,平均(音楽),7CggOAhJUmZ701Rg3mbiW6,2021-04-12,album,141641,False,6,1,0.697,0.137,3,-17.169,1,0.0452,0.949,0.953,0.133,0.253,122.032,3ZWoErdPIJgb7oGbEYR7AL,spotify:artist:3ZWoErdPIJgb7oGbEYR7AL,[],0
Jazz & Coffee Orchestra,Dream Like Moods for Cold Brew Shops,3Br0ubWpDI0vTMwOANpaq1,0,Inspired Ambiance for Single Origin Coffee,11Ev7BurYmmCiuci2ClaWK,2021-12-10,album,140805,False,17,1,0.721,0.0705,4,-17.137,1,0.0543,0.995,0.958,0.099,0.378,74.866,6RqBBsV7Bpn9HAXBBy3QZI,spotify:artist:6RqBBsV7Bpn9HAXBBy3QZI,[],0
眩しい 琴瞑想音楽,音(スパ),1dVdkUIBNG3BEcU4pnAjkA,0,重要(瞑想),1AkRfQId2RdfAeIpHHoI7z,2021-03-07,album,154366,False,2,1,0.609,0.0714,0,-18.405,0,0.0357,0.96,0.926,0.114,0.0392,111.721,4WZ39D0yQWwsrQzyxw2OZd,spotify:artist:4WZ39D0yQWwsrQzyxw2OZd,[],0
tokyosmajor,DuskTillDawn (all nighters),60pO04h709M4n9ilEm8Chh,0,"As Dark, as Vanta",2mOR7QCrCdWCVUpCVZp5rk,2021-12-25,album,122586,False,6,1,0.825,0.625,6,-9.532,0,0.0419,0.119,0.848,0.111,0.381,93.943,0B4zbREVRlmBSROHFtBTkf,spotify:artist:0B4zbREVRlmBSROHFtBTkf,[],0
Martin Urdinez,Moon Shaped Sun - Kayza & Samar Remix,07WB5PWx18H4GQby9kN8ff,0,Moon Shaped Sun,6Dhqt2eMBEyLzo1TWOERdJ,2021-10-14,single,425000,False,2,1,0.68,0.872,3,-8.194,0,0.0416,0.425,0.924,0.156,0.119,120.003,0ReYh0WunCnQco2Y41zPdV,spotify:artist:0ReYh0WunCnQco2Y41zPdV,[],0
チャーミング ベビーミュージック,器楽(未就学),01cM0vh3yMHCY4GulhuJ0l,0,貴重な(子守唄),2ZGf74kWcUjvhxmN5dr13g,2021-10-15,album,114782,False,14,1,0.651,0.116,7,-17.896,1,0.0323,0.669,0.0022,0.115,0.163,91.997,5N80l39EBxFl6j6o1RDGfO,spotify:artist:5N80l39EBxFl6j6o1RDGfO,[],0
Cat & Calm,Cat Music,5m5HcmgIKWSP98kU5dcUbX,0,Soothe Your Cat with Soft Music and Help Them Relax,161MVGlWXvuqD9wXK8wJUa,2021-12-25,album,193000,False,3,1,0.735,0.366,7,-21.368,1,0.0374,0.988,0.948,0.143,0.363,120.007,1R9rt4P7OsUKJCQXX6aq2X,spotify:artist:1R9rt4P7OsUKJCQXX6aq2X,[],0
